cgpa,resume_score,placed
6.25,4.19,0
9.7,7.82,1
8.39,5.89,1
7.59,7.05,0
4.94,9.45,1
4.94,5.5,1
4.35,6.46,1
9.2,8.53,1
7.61,5.37,1
8.25,4.46,1
4.12,5.74,0
9.82,4.97,1
8.99,9.58,1
5.27,8.85,1
5.09,7.8,0
5.1,9.23,1
5.83,8.82,1
7.15,5.12,0
6.59,9.36,1
5.75,7.24,0
7.67,8.84,1
4.84,9.38,1
5.75,5.91,1
6.2,4.66,1
6.74,5.37,1
8.71,6.56,1
5.2,8.91,0
7.09,9.16,1
7.55,4.04,0
4.28,7.06,0
7.65,6.5,0
5.02,5.33,1
4.39,4.72,0
9.69,6.03,1
9.79,9.66,1
8.85,5.94,1
5.83,7.11,1
4.59,8.22,1
8.11,6.18,1
6.64,9.83,1
4.73,9.77,0
6.97,5.51,0
4.21,6.98,0
9.46,5.81,1
5.55,5.71,1
7.98,4.22,0
5.87,7.66,1
7.12,7.02,0
7.28,4.31,0
5.11,5.67,0
9.82,9.45,1
8.65,5.44,1
9.64,4.87,0
9.37,6.94,1
7.59,9.91,1
9.53,5.45,1
4.53,8.03,0
5.18,8.57,0
4.27,5.43,0
5.95,8.37,1
6.33,6.21,1
5.63,7.79,0
8.97,7.8,1
6.14,7.21,1
5.69,4.54,0
7.26,9.01,1
4.85,5.92,0
8.81,5.12,0
4.45,4.24,1
9.92,7.55,1
8.63,8.07,1
5.19,4.1,0
4.03,7.07,0
8.89,5.36,0
8.24,7.87,1
8.37,5.05,1
8.63,8.15,1
4.44,6.32,0
6.15,9.62,1
4.7,4.83,0
9.18,6.05,0
7.74,4.68,1
5.99,9.55,1
4.38,9.26,1
5.87,5.55,0
5.95,7.96,1
8.38,8.9,1
7.83,7.33,1
9.32,7.18,1
6.83,5.45,1
4.72,4.56,1
8.28,9.38,1
8.56,9.4,1
7.37,7.8,1
8.63,6.03,1
6.96,6.1,1
7.14,8.36,1
6.57,9.38,1
4.15,9.32,1
4.65,8.68,1
